clave,var1(t-12),var2(t-12),var3(t-12),var4(t-12),var5(t-12),var6(t-12),var7(t-12),var8(t-12),var9(t-12),obj
1/1/2018 13:00,3132,2251,1148,33.99,0,8.3,48.62,workday,0,653
1/1/2018 14:00,2700,1633,947,38.09,0,6.53,47.66,workday,0,528
1/1/2018 15:00,2882,1845,908,38.32,0,6.06,57.67,workday,0,563
1/1/2018 16:00,4434,2660,1625,34.17,0,6.07,45.37,workday,0,871
1/1/2018 17:00,4377,2546,1469,32.97,0,3.55,30.87,workday,0,839
1/1/2018 18:00,4617,2554,1679,29.75,0,7.63,39.87,workday,0,885
1/1/2018 19:00,4609,2482,1760,28.37,0,9.93,35.88,workday,0,885
1/1/2018 20:00,1223,586,694,23.32,0,2.86,60.68,workday,0,250
1/1/2018 21:00,1196,791,422,22.37,0,3.27,61.11,workday,0,240
1/1/2018 22:00,1632,1076,458,25.13,0,4.56,53.99,workday,0,316
1/1/2018 23:00,1221,906,347,22.19,0,4.98,78.52,workday,0,247
2/1/2018 0:00,1274,589,703,20.83,0,3.17,68.23,workday,0,256
2/1/2018 1:00,1525,1076,346,24.63,0,3.01,40.4,workday,0,294
2/1/2018 2:00,1472,804,465,24.59,0,5.26,67.38,workday,0,274
2/1/2018 3:00,1696,537,329,23.65,0,2.78,56.99,workday,0,256
2/1/2018 4:00,1039,431,121,21.84,0,6.59,55.39,workday,0,159
2/1/2018 5:00,1149,868,386,25.03,0,5.49,42.37,workday,0,240
2/1/2018 6:00,954,962,249,22.84,0,5.92,53.23,workday,0,216
2/1/2018 7:00,3945,2395,1809,36.12,0,5.32,59.31,workday,0,814
2/1/2018 8:00,4439,2954,1757,30.76,0,8.95,53.31,workday,0,915
2/1/2018 9:00,3920,2712,1690,30.08,0,4.79,48.14,workday,0,832
2/1/2018 10:00,4177,2442,1650,27.22,0,9.71,58.13,workday,0,826
2/1/2018 11:00,2641,1857,1162,31.71,0,7.72,60.04,workday,0,566
2/1/2018 12:00,3266,1961,1242,29.42,0,10.08,53.61,workday,0,646
2/1/2018 13:00,2697,2137,973,31.86,0,2,65.65,workday,0,580
2/1/2018 14:00,2675,2014,1143,35.29,0,6.4,50.87,workday,0,583
2/1/2018 15:00,2488,1974,1092,32.37,0,6.56,30.12,workday,0,555
2/1/2018 16:00,4509,2604,1771,33.43,0,5.96,64.78,workday,0,888
2/1/2018 17:00,4974,2829,1387,28.77,0,8.83,44.98,workday,0,919
2/1/2018 18:00,4133,2534,1719,33.32,0,8.03,44.7,workday,0,838
2/1/2018 19:00,4402,2824,1485,32.39,0,5.6,59.69,workday,0,871
2/1/2018 20:00,1620,489,386,23.02,0,2.8,56.08,workday,0,249
2/1/2018 21:00,1128,857,474,24.89,0,5.01,62.61,workday,0,245
2/1/2018 22:00,1644,979,315,23.3,0,4.37,45.85,workday,0,293
2/1/2018 23:00,1213,718,338,22.97,0,4.76,51.98,workday,0,226
3/1/2018 0:00,737,716,551,25.21,0,5.26,78.86,workday,0,200
3/1/2018 1:00,1257,787,635,24.77,0,2.12,59.26,workday,0,267
3/1/2018 2:00,938,561,355,23.92,0,8.69,60.6,workday,0,185
3/1/2018 3:00,1523,899,459,23.42,0,4.95,63.02,workday,0,288
3/1/2018 4:00,1628,534,356,20.49,0,6.13,71.43,workday,0,251
3/1/2018 5:00,1308,679,547,26.37,0,7.1,50.91,workday,0,253
3/1/2018 6:00,1718,701,481,19.79,0,8.29,65.87,workday,0,290
3/1/2018 7:00,4778,2852,1840,28.04,0,7.2,44.34,workday,0,947
3/1/2018 8:00,4625,2710,1429,29.99,0,7.14,34.49,workday,0,876
3/1/2018 9:00,4605,2516,1431,27.75,0,5.16,54.74,workday,0,855
3/1/2018 10:00,4624,2633,1211,38.2,0,6.36,42.17,workday,0,846
3/1/2018 11:00,3696,1509,1011,35.25,0,7.45,37.69,workday,0,621
3/1/2018 12:00,2643,1748,984,37.23,0,7.37,33.93,workday,0,537
3/1/2018 13:00,2798,1780,890,33.04,0,4.53,57.82,workday,0,546
3/1/2018 14:00,3161,1887,1059,26.72,0,7.59,55.22,workday,0,610
3/1/2018 15:00,3162,2006,839,33,0,5.64,53.46,workday,0,600
3/1/2018 16:00,4982,3034,1703,32.93,0,5.57,52.93,workday,0,971
3/1/2018 17:00,4402,3125,1742,39.46,0,4.62,54.74,workday,0,926
3/1/2018 18:00,4051,2624,1665,34.63,0,8.57,40.25,workday,0,834
3/1/2018 19:00,4119,2920,1545,36.63,0,8.93,41.79,workday,0,858
3/1/2018 20:00,904,684,336,25.24,0,7.85,68.22,workday,0,192
3/1/2018 21:00,683,711,357,23.26,0,3.67,52.46,workday,0,175
3/1/2018 22:00,1234,504,444,21.55,0,5.51,59.23,workday,0,218
