clave,var1(t-72),var2(t-72),var3(t-72),var4(t-72),var5(t-72),var6(t-72),var7(t-72),var8(t-72),var9(t-72),obj
4/1/2018 01:00,5265,3086,1836,32.4901424590337,0,4.839765074307975,58.946115923540845,workday,0,1018
4/1/2018 02:00,5385,3248,1917,30.585207096486446,0,5.921406914660562,49.93794365873594,workday,0,1055
4/1/2018 03:00,5871,2952,2049,32.94306561430208,0,3.3166957590332853,50.24357138562259,workday,0,1087
4/1/2018 04:00,5644,3319,1970,35.569089569224076,0,5.722836033535277,45.08946270574058,workday,0,1093
4/1/2018 05:00,5243,2891,1958,30.29753987582999,0,6.724185474716476,40.56832930830332,workday,0,1009
4/1/2018 06:00,5233,3385,1832,30.29758912915246,0,7.739918538732702,40.199285829153446,workday,0,1045
4/1/2018 07:00,9298,5665,3316,35.737638446522176,0,6.4979134772763985,46.84982670218213,workday,0,1827
4/1/2018 08:00,9438,5396,3330,33.302304187458724,0,3.1347967258272047,50.75356266694517,workday,0,1816
4/1/2018 09:00,8870,5263,3164,29.591576842195146,0,8.704542276459525,36.357750205134394,workday,0,1729
4/1/2018 10:00,9459,5349,3312,32.627680130757895,0,8.872317012748479,64.37057816901876,workday,0,1812
4/1/2018 11:00,5049,2771,1802,29.609746921562614,0,6.225134510541564,42.43486239746985,workday,0,962
4/1/2018 12:00,5382,3488,1848,29.60281073928923,0,4.496116757702691,41.14196773001259,workday,0,1071
4/1/2018 13:00,5965,3365,1848,31.725886814698104,0,4.936764127076909,47.77388087220178,workday,0,1117
4/1/2018 14:00,5481,2976,1849,25.260159266026605,0,5.59295520456383,30.0,workday,0,1030
4/1/2018 15:00,5337,3288,1837,25.8252465024609,0,6.55733691239532,50.893753866164175,workday,0,1046
4/1/2018 16:00,8263,4458,3033,29.313137412277083,0,5.391029436980521,40.07806213654867,workday,0,1575
4/1/2018 17:00,8092,5050,3022,27.961506638996728,0,4.2832249321976485,32.623885889475766,workday,0,1616
4/1/2018 18:00,8164,5076,2899,31.94274199778582,0,8.046019768432874,49.14760948920546,workday,0,1613
4/1/2018 19:00,8211,4737,3052,28.27592777343637,0,6.514571776148202,49.13736820646858,workday,0,1600
4/1/2018 20:00,5438,3588,1689,26.763088895994127,0,3.895255955128103,63.56206135250803,workday,0,1071
4/1/2018 21:00,5192,2964,2085,35.39694630676466,0,6.582620912571581,49.43701478091617,workday,0,1024
4/1/2018 22:00,5608,2855,1738,30.322671098540393,0,6.3237416575581635,49.37750053068384,workday,0,1020
4/1/2018 23:00,5003,3496,2107,31.20258461406377,0,4.5638941761112175,48.33043599762345,workday,0,1060
5/1/2018 00:00,3436,1642,903,26.72575544135963,0,8.390099519221973,30.0,Friday,0,598
5/1/2018 01:00,4058,2468,1540,29.36685182642445,0,6.269778412854631,48.614593630046535,Friday,0,806
5/1/2018 02:00,3556,1645,1348,31.3327677691296,0,5.566756715835664,47.61235753677524,Friday,0,654
5/1/2018 03:00,3429,2602,1383,27.54701926773309,0,5.833036503849157,46.842096993477085,Friday,0,741
5/1/2018 04:00,3669,2060,1501,32.12709405503701,0,6.8878335917096525,41.329398084544906,Friday,0,723
5/1/2018 05:00,3349,1813,1274,29.198083930243584,0,5.855633170939791,52.52038745672506,Friday,0,643
5/1/2018 06:00,3981,2570,976,30.124918750620168,0,5.838912653922249,40.18694847044751,Friday,0,752
5/1/2018 07:00,4045,2144,1405,29.194880163311808,0,8.131930136650759,53.643176643542105,Friday,0,759
5/1/2018 08:00,3100,2063,1376,36.55683455352681,0,3.163191345025469,51.10540781593808,Friday,0,653
