clave,var1(t-12),var2(t-12),var3(t-12),var4(t-12),var5(t-12),var6(t-12),var7(t-12),var8(t-12),var9(t-12),obj
1/1/2018 13:00,322,300,169,27.49014246,0,9.760816565,20.94909126,workday,0,79
1/1/2018 14:00,250,176,129,25.5852071,0,8.944143907,17.02109934,workday,0,55
1/1/2018 15:00,280,219,121,27.94306561,0,7.835201779,26.20610714,workday,0,62
1/1/2018 16:00,489,342,260,30.56908957,0,6.25601023,26.2280663,workday,0,109
1/1/2018 17:00,479,319,228,25.29753988,0,9.555905973,26.38219255,workday,0,102
1/1/2018 18:00,519,320,270,25.29758913,0,7.243562593,34.29990827,workday,0,110
1/1/2018 19:00,518,306,287,30.73763845,0,11.42407292,36.2571567,workday,0,111
1/1/2018 20:00,303,183,204,28.30230419,0,10.05898239,31.94328614,workday,0,69
1/1/2018 21:00,299,224,150,24.59157684,0,13.11672156,31.52346818,workday,0,67
1/1/2018 22:00,372,281,157,27.62768013,0,10.44614855,27.52048112,workday,0,81
1/1/2018 23:00,303,247,135,24.60974692,0,8.546684405,29.05950071,workday,0,68
2/1/2018 0:00,312,183,206,24.60281074,0,6.239984795,30.5774467,workday,0,70
2/1/2018 1:00,354,281,135,26.72588681,0,11.61308773,28.84036289,workday,0,77
2/1/2018 2:00,345,226,159,20.26015927,0,7.402103479,31.55529381,workday,0,73
2/1/2018 3:00,382,173,131,20.8252465,0,9.183710955,28.2747879,workday,0,68
2/1/2018 4:00,273,152,90,24.31313741,0,13.34817649,25.02865277,workday,0,51
2/1/2018 5:00,291,239,143,22.96150664,0,11.2219667,29.56885045,workday,0,67
2/1/2018 6:00,259,258,115,26.942742,0,10.77973091,26.58397931,workday,0,63
2/1/2018 7:00,507,359,346,23.27592777,0,11.88864489,36.71387322,workday,0,121
2/1/2018 8:00,589,470,336,21.7630889,0,11.81409964,25.43566225,workday,0,139
2/1/2018 9:00,503,422,323,30.39694631,0,13.16189286,45.1582558,workday,0,124
2/1/2018 10:00,546,368,315,25.3226711,0,8.795641299,37.83806283,workday,0,122
2/1/2018 11:00,240,221,172,26.20258461,0,9.246631693,21.20437202,workday,0,63
2/1/2018 12:00,344,242,188,21.72575544,0,8.155230742,35.50996494,workday,0,77
2/1/2018 13:00,249,277,134,24.36685183,0,9.934604727,27.24710331,workday,0,66
2/1/2018 14:00,245,252,168,26.33276777,0,9.735534542,31.3932725,workday,0,66
2/1/2018 15:00,214,244,158,22.54701927,0,6.490095525,37.46010157,workday,0,61
